url_count,sentiment_score_mean
5,-0.18644
937,-0.19893628601921023
943,-0.14252290562036055
530,-0.17318433962264151
653,-0.15911301684532925
697,-0.14091334289813487
428,-0.07867967289719627
506,-0.13445731225296442
474,-0.12971434599156118
9,-0.39488888888888884
28,0.05959642857142856
684,-0.32164108187134505
578,-0.29630622837370246
419,-0.34318138424821004
351,-0.31775868945868946
320,-0.18160343750000002
293,-0.2180273037542662
492,-0.29946036585365854
454,-0.2753286343612335
249,-0.26037791164658636
191,-0.25115183246073297
243,-0.323762962962963
297,-0.4295885521885522
